,Title,Bathrooms,Bedrooms,Car Spaces,Floor area (m²),Land Size (m²),Subdivision name,Block and Lot/Unit Number,Build (Year),Rooms (total),Price
399,Rush Sale: 4-Bedroom Modern House in Manville Royal Subdivision Bacolod,3.0,4.0,2.0,150.0,338.0,Manville Royale Subdivision,Block 10 Lot 21,,,6500000
400,For Sale South Greenheights Executive Village House And Lot Package Muntinlupa,2.0,3.0,1.0,85.0,70.0,South Greenheights,11,,3.0,4837250
401,"Brand New 4 Storey Townhouse for Sale at MN Residences in Cubao, Quezon City",3.0,3.0,2.0,177.58,42.88,,Unit A,,,13658000
402,House And Lot Package For Sale At Victorini Heights Nr. Alabang Muntinlupa,2.0,3.0,1.0,105.0,123.0,Victorini Heights,Block 7 and Lot 27,,3.0,7701600
403,"For Sale 3 Bedroom House and Lot in St. Ignatius Village, Quezon City",3.0,3.0,,250.0,384.0,St. Ignatius Village,,,,61440000
404,"Maginoo Residences Townhouse for Sale, Quezon City",4.0,4.0,2.0,210.85,72.71,Maginoo Residences,Unit E,,5.0,16000000
405,"For Sale 3 BR Single Detached House at Montecelio Residences Concepcion, Tarlac",2.0,3.0,1.0,99.0,112.5,Montecelio Residences,B4 L10,2020.0,,3440000
406,3 Bedroom House FOR SALE @ Georgetown Heights Windsor 2 Residences Bacoor Cavite,2.0,3.0,1.0,90.0,110.0,Georgetown Heights Windsor 2,Block 53 - Lot 8,,3.0,5460000
407,3BR+Parking Greenheights Village House and Lot For Sale Paranaque City,3.0,3.0,,164.0,102.0,,,,,11000000
408,"For Sale 2 Bedroom Townhouse in BF Resort, Talon Dos, Las Piñas City",2.0,2.0,1.0,100.0,56.0,BF Resort Village,,,,4000000
409,"House And Lot For Sale In Ayala Alabang Village, Muntinlupa City",5.0,5.0,5.0,675.0,555.0,Ayala Alabang Village,,2022.0,5.0,195000000
410,For Sale The Batulao Artscapes By Century The Polygonal Home By Eduardo Calma,2.0,2.0,1.0,62.0,62.0,Batulao Artscapes,Block 4,2020.0,2.0,5129046
411,"3 Bedroom Townhouse in Mamplasan, Biñan, Laguna For Sale",3.0,3.0,1.0,162.0,,Brentville International Community,,,,16500000
412,"For Sale 3-Storey Brand New Townhomes (Front Unit With Own Gate), Quezon City",4.0,3.0,2.0,139.0,50.4,,Unit B,,,9180000
413,Ready for Occupancy House and Lot for Sale San Fernando Pampanga Aspire Resale,2.0,4.0,,75.0,100.0,Aspire Prime Residences,,,,3700000
414,"For Sale 4 Bedrooms and 2 Car Garage in Montecelio Residences Concepcion, Tarlac",3.0,4.0,2.0,122.94,112.5,Montecelio Residences,B3 L28,,4.0,4035600
415,"FREE 42"" TV, BALCONY AND LANDSCAPING For RFO 2 STOREY Single Attached House",3.0,4.0,2.0,80.0,96.0,La Grandeza Antipolo,Block 16,,4.0,7868000
416,,,,,,,,,,,
417,4 Bedroom Modern Minimalist House and Lot in Geneva Gardens Fairview with view,3.0,4.0,2.0,420.0,300.0,Geneva Garden Neopolitan VII Subdivision,,,,24900000
418,"3BR House and Lot for Sale in Palm Village in Salcedo Village, Makati",4.0,3.0,4.0,300.0,114.0,,,,,50000000
419,"Near Beachside 4BR House and Lot For Sale at Seafront Residences, San Juan",3.0,4.0,,150.0,280.0,Seafront Residences,46 Riada Ln,,,24433000
420,Fully Furnished 2-Bedroom W/ 1-Bathroom Single-Storey House And Lot In Maramag,1.0,2.0,,46.0,95.0,The Summit Townhomes,,,,1620000
421,176sqm l 4BR Single Home l near NUVALI and TAGAYTAY ,4.0,4.0,,174.66,176.0,Verona,B17 / L3,,,9959130
422,"Ready for Occupancy Diana House for Sale in Versailles Alabang, Las Piñas",4.0,4.0,2.0,374.0,324.0,Versailles Village,11/26,,,45329000
423,"3 Bedrooms Townhouse for Sale in Lancaster New City, General Trias, Cavite",1.0,3.0,,40.0,40.0,Lancaster New City,1/1,,,1935600
424,"3 Bedroom House and Lot for sale in Capas, Tarlac near New Clark Green City",2.0,3.0,,66.0,120.0,Grand Tierra 2 Capas,Chicago,,,4157440
425,Townhouse in Tanauan Batangas Near SLEX ,1.0,2.0,1.0,45.0,50.0,Tanauan Park Place 3,17/88,,,1152000
426,162 sqm. Lot area preselling single attached w/ 5 bedrooms & 6 car garage in QC,4.0,5.0,6.0,312.68,162.0,BRIZLANE RESIDENCES,BLOCK 10 & 11,,5.0,40000000
427,"For Sale 3 Bedroom House and Lot in Southfield Settings Nuvali, Calamba",2.0,3.0,,85.0,218.0,Southfield Settings Nuvali,,,,11600000
428,3 Bedrooms Single Detached in Cavite ,2.0,3.0,,72.0,100.0,Hestia Properties,,,,4727402
429,Single Attached 2 Bedrooms House and Lot For Sale in San Fernando Pampanga,2.0,2.0,1.0,73.0,70.0,Parkplace,Block 12 Lot 13 Phase 2,,,2866254
430,"House And Lot For Sale In Ayala Alabang Village, Muntinlupa City",4.0,4.0,2.0,500.0,570.0,Ayala Alabang Village,,1987.0,4.0,120000000
431,4 Bedroom House and Lot for Sale in Metrogate Dasmariñas Cavite,3.0,4.0,,235.0,150.0,,,,,13500000
432,"3BR House and Lot For Sale w/ Parking at Seafront Residences, San Juan, Batangas",2.0,3.0,,100.0,200.0,Seafront Residences,Wave Lane House #12,,,11568000
433,"For Sale 3 Bedrooms Single Attached House in Cabuyao, Laguna ",1.0,3.0,,56.25,72.0,Centerra Cabuyao,,,,3100000
434,Pre-Selling 4-Bedroom Townhouse for sale in Small Horseshoe Drive Quezon City ,4.0,4.0,,570.0,156.0,Small Horseshoe,,,,64000000
435,Tanauan Park Place- House and Lot for sale,2.0,3.0,,77.0,100.0,,,,,3013000
436,3 Bedroom House and Lot for Sale in Cavite,2.0,3.0,,82.0,120.0,,,,,7100000
437,4 Bedroom Townhouse for Sale Located in Celestina Residences,1.0,4.0,,300.0,150.0,Celestina Residences,,,,20000000
438,"Townhouse, 3BR, 2T&B,1 Carport For Sale at Amaia Series Novaliches, Quezon City",2.0,3.0,1.0,59.86,56.0,Amaia Series Novaliches,Sectir 4 Blk Lot,,3.0,3800000
439,Cheapest 2 bedroom Bungalow House and Lot in Mabalacat near Clark and NLEX,1.0,2.0,1.0,32.0,77.0,,BLock 10 Lot 3,,,1440000
440,RUSH Sale 4BR Well Maintained Townhouse in San Antonio Makati,3.0,4.0,1.0,126.0,71.0,San Antonio Village,,2000.0,,15500000
441,"For sale Townhouse Property Near Tagaytay, Cavite",1.0,3.0,1.0,54.0,50.0,,"Block 12, Lot 15",,,2044125
442,"Most Affordable Single House For Sale in Barangay Mamatid, Cabuyao, Laguna",1.0,3.0,,50.2,80.0,,1 lot 1,,,2300000
443,Rush RFO for Sale 3BR House & Lot in Sun Valley Golf and Residential Estates,3.0,4.0,,300.0,311.0,Sun Valley Golf and Residential Estates,Phase 2,,,19000000
444,House for Sale in Tagaytay,,3.0,2.0,198.0,240.0,,"Block 1, lot 1",,3.0,19160960
445,Sale ! Cammela Homes 5 2br 2cr 1 Carport,2.0,2.0,,66.5,48.0,Camella,,,,4200000
446,Modern Industrial Brand New Two-Storey Single Family House With Pool for Sale,3.0,3.0,,211.0,176.0,Private,,,,13000000
447,"Dazzling Modern Homes For Sale In BF Homes, Paranaque",4.0,4.0,2.0,252.0,179.0,BF Homes Parañaque,,,4.0,22400000
448,"For Sale Last 1 out of 4 of 3BR Townhouse at Mother Earth Sub., Las Piñas",3.0,3.0,1.0,104.0,70.0,Mother Earth Subdivision,Block 1 Lot 1-A,,,6300000
449,Beach House Overlooking for Sale in Sumilon Island,2.0,3.0,,250.0,2779.0,,,,,35000000
450,"Townhouse For Sale in Valle Verde 6, Pasig City, Metro Manila",4.0,4.0,2.0,355.98,110.0,Valle Verde - Pasig,,,,50000000
451,"3 Bedroom Fully Furnished Duplex House for Sale in Mandaue City, Cebu ",2.0,3.0,2.0,84.0,81.0,Almiya Subdivision,,,,6200000
452,"3 Bedroom American Standard House for Sale in Talisay City, Cebu",3.0,3.0,1.0,201.0,255.0,Azienda Milan,,,,9000000
453,"Brand New 5 Storey Townhouse For Sale in Greenhills, San Juan City",5.0,4.0,5.0,390.0,100.0,,,,,49500000
454,Modern Elegant Duplex House and Lot in Lower Antipolo near Sta. Lucia Mall,2.0,3.0,2.0,138.0,102.0,,B1L2,2022.0,4.0,8800000
455,2 Storey Single Detached House for Sale Aspire Prime Residences in San Fernando,3.0,4.0,,89.0,162.0,,"1,1",,,5286500
456,Taguig AFPOVAI Brand New House and Lot For Sale (Duplex),6.0,4.0,4.0,410.0,200.0,,,,,48800000
457,"For Sale Brand New Townhouse near BF Homes Parañaque, Middle Unit, 180 sqm",3.0,3.0,1.0,180.0,77.0,BF Homes Parañaque,B,,,8500000
458,"4 Bedroom House and Lot for sale at Dasmariñas Village, Makati City",4.0,4.0,,900.0,1000.0,Dasmariñas Village,,,,600000000
459,Ayala Alabang Modern Asian Design House For Sale in Muntinlupa City,4.0,4.0,4.0,900.0,720.0,Ayala Alabang Village,,2021.0,6.0,240000000
460,Modern Spacious Duplex House and Lot in Antipolo city near Robinsons,3.0,4.0,2.0,181.0,104.0,,b1l1,2022.0,4.0,6700000
461,2 Bedroom House & Lot for Sale near SM Fairview & Ayala Terraces mall,2.0,2.0,1.0,105.0,62.0,,,,,3800000
462,"Boracay beachfront resort for sale: lot 321m2, p75m only!",,22.0,,990.0,321.0,,,,,75000000
463,"Brand New 4-Bedrooms House and lot for Sale in Mandaue City, Cebu",3.0,4.0,2.0,149.0,83.0,,,,4.0,8500000
464,,,,,,,,,,,
465,For Sale! Loyola Grand Villas House and Lot,12.0,12.0,,1200.0,1000.0,Loyola Grand Villas - Quezon City,,,,120000000
466,"6 Bedroom Brand New House for Sale in Kishanta, Talisay City, Cebu ",3.0,4.0,2.0,315.0,200.0,Kishanta Zen Residences,,,6.0,18500000
467,"Beautiful 5BR house For Sale in Portofino Heights Daang Hari, Las Piñas",4.0,5.0,2.0,381.0,490.0,Portofino Heights,,,,57000000
468,House for Sale in San Miguel Village Makati City ,5.0,5.0,,450.0,344.0,San Miguel Village,Layug St,,,95000000
469,2 Bedrooms Townhouse Las Piñas For Sale near Naga Road,2.0,2.0,1.0,47.0,49.0,,,2021.0,2.0,3808000
470,"For Sale Fully furnished 3 bedroom Townhouse in Greenplains Subdivision, Cebu",2.0,3.0,,103.0,67.0,Greenplains Subdivision,,,,8500000
471,Last Two units 80 Sqm Brand New For Sale in Moonwalk Village Las Piñas,3.0,3.0,1.0,104.0,80.0,Moonwalk Village,Apollo St,,,6000000
472,"Three Level House For Sale in Ayala Alabang Village, Muntinlupa City",5.0,5.0,6.0,800.0,716.0,Ayala Alabang Village,,2010.0,6.0,280000000
473,"Overlooking Seaview House for Sale in Bulacao, Talisay City, Cebu  ",5.0,4.0,,240.0,176.0,Vista Grande,,,,18000000
474,Anvaya Cove House and Lot 6 bedroom with T&B for Sale,6.0,6.0,4.0,596.0,455.0,Woodridge Hills,,,,55000000
475,Rush!!! 2 Storey House & Lot for Sale at Royal South Las Piñas,3.0,4.0,2.0,100.0,81.0,Royal South,,,,7200000
476,Scandinavian Designed Single Attached 3 Bedroom High Cieling Bungalow For Sale,3.0,3.0,,75.0,126.0,Private Owned,,,,5100000
477,Brand New 2 Storey Single Attached in Buliran Road Antipolo City,2.0,2.0,1.0,61.0,71.0,,,,,4677840
478,Brand New 3 Storey Modern House and Lot for Sale in Ayala Alabang Village,6.0,7.0,4.0,675.0,555.0,Ayala Alabang Village,,,7.0,195000000
479,For Sale: Zero Downpayment Townhouse Moonwalk Village Las Piñas City,2.0,3.0,1.0,104.0,71.0,Moonwalk Village,No 5 Red Gate Unit 3,2022.0,3.0,5600000
480,4 Bedrooms Corner House and Lot for Sale in Amore Portofino Las Piñas,4.0,4.0,2.0,250.0,266.0,Amore at Portofino,30,,5.0,32000000
481,2 BR Newly Renovated Townhouse at Regency Townhouse Xavierville 2 Quezon City,1.0,2.0,,180.0,,Regency Townhomes,Unit V,,,19500000
482,New Manila Brand New House and Lot For Sale,6.0,4.0,6.0,800.0,500.0,,,,,95000000
483,"Brand New Beach 2 Bedroom House for Sale in Danao City, Cebu ",2.0,2.0,2.0,155.0,219.0,Aduna Beach Villas,,2021.0,2.0,9500000
484,"Brand New House and Lot For Sale with 5 Bedrooms in Angeles City, Pampanga",6.0,5.0,2.0,260.0,200.0,,,,5.0,17000000
485,"Single Attached in Deparo Caloocan, Deparo Executive Villas",3.0,4.0,1.0,165.0,100.0,Deparo Executive Villas,Block 3 lot 2,2022.0,4.0,9675000
486,"Rush Sale Sale Large Duplex Townhouse Inside Merville Village, Parañaque City",9.0,9.0,2.0,521.0,523.0,Merville Village,,,,55000000
487,Scandinavian Designed Single Attached 3 Bedroom High Cieling House And Lot,2.0,3.0,2.0,75.0,126.0,Bankers Village,,2022.0,3.0,5100000
488,New Manila Brand New House and Lot For Sale,6.0,5.0,,800.0,500.0,,,,,105000000
489,4 Bedroom House and Lot for Sale in BF Resort Las Pinas Ready to Occupy,6.0,4.0,2.0,220.0,169.0,,,,4.0,17000000
490,two storey brand-new house and lot with pool located in angeles city for sale,5.0,5.0,1.0,240.0,200.0,,,,,17800000
491,"House and Lot For Sale in East Greenhills, San Juan ",5.0,5.0,5.0,1200.0,600.0,East Greenhills,,,,190000000
492,"2 Bedroom Townhouse Inner, Imus Cavite for sale",1.0,2.0,,40.0,36.0,Monte Royale Residences,,,,2079000
493,San Juan 4-Storey Luxury Townhouse ,2.0,3.0,2.0,161.0,52.0,The Benitez Courtyard,,,,22892000
494,"5 Bedroom Mediterranean House for Sale in Guadalupe, Cebu City ",5.0,5.0,4.0,650.0,512.0,Villa Salud Subdivision,,,,32000000
495,"2BR House and Lot near C-5 Extention for sale in Manuyo Dos, Las Piñas",2.0,2.0,1.0,95.0,51.0,Gatchalian,Unit 1,2021.0,2.0,4915000
496,"For Sale Brand New Townhouse near BF Homes Parañaque, End Unit, 180 sqm",3.0,3.0,1.0,180.0,98.0,Jackielou Ville Subdivision,Unit C,2021.0,4.0,8500000
497,"2 Bedrooms Advance Construction House and Lot for Sale in Buhangin, Davao City",2.0,2.0,,53.0,88.0,Camella Davao,021-0034,,,5785800
498,Amaia Scapes Bulacan by Ayala Land Single Family House for Sale,3.0,3.0,,80.0,100.0,Amaia Scapes Bulacan,Sector 4B Bolck 124 Lot 6,,,5800000
499,Single Attached House for Sale w/ Complete Finished Turnover at Santa Maria,2.0,3.0,2.0,60.0,80.0,Amaia Scapes Bulacan,Block 5 Lot 6,,,4200000
500,4-BR Prime Residential House in Sun Valley Estates & Golf Club Antipolo ,5.0,4.0,,172.0,264.0,Sun Valley Estate,Block 2 lot 2,,,17000000
501,4BR Brand New RFO House and Lot for sale in Sun Valley Estates & Golf Club,4.0,4.0,,255.0,440.0,Sun Valley Estate,"Phase 6A, Alt 3, Lot 4",,,20000000
502,,,,,,,,,,,
503,For Sale RFO Townhouses Meteor St Moonwalk Vill Las Pinas,2.0,3.0,,120.0,74.0,Moonwalk Village,Block7 Lot5,2022.0,,5600000
504,"RFO - 2 Storey Single Detached House for sale in Talisay City, Cebu",3.0,4.0,,167.0,137.0,Woodway Townhomes 2,Block 2 Lot 1,,,13429427
505,3 Bedrooms Single Family House and Lot For Sale Located in Mintal Davao City,2.0,3.0,,66.0,88.0,Camella Cerritos Mintal,008-0018,,,6744495
506,3-storey Elegant Townhouse in Kamias Quezon City,4.0,4.0,2.0,269.0,100.0,Ellery Place,Block 1 Unit 2,2021.0,4.0,27500000
507,"For Sale: Brand New Spacious Duplex with Elevator near BGC, Taguig",,4.0,4.0,410.0,200.0,AFPOVAI,,2021.0,,48800000
508,3Bedrooms Single Attach House & near PUP in Amaia Scapes Bulacan,2.0,3.0,1.0,60.0,80.0,Amaia Scapes Bulacan,Single Home Model 60,,3.0,4200000
509,Compound Brand New Townhouse For Sale in Silangan Quezon City,3.0,3.0,1.0,114.0,25.76,,1,,,8800000
510,For sale residential / semi commercial lot with old House in Quezon City,2.0,4.0,2.0,180.0,300.0,,,,,25000000
511,6BR Modern House for Sale in Parañaque City near Merville NAIA SLEX Robinsons,7.0,6.0,,995.0,650.0,Parañaque City,,,,120000000
512,"Modern Asian 2-Storey House for Sale in Quezon City, Capitol Homes Nr. Katipunan",5.0,5.0,5.0,850.0,663.0,Capitol Homes,,,,105000000
513,Tandang Sora via Philand Drive Townhouse for sale ,3.0,3.0,,150.0,67.0,,,,,8500000
514,"For Sale 5-BR Modern Industrial House near Holy Spirit Drive, Quezon City",5.0,5.0,3.0,450.0,400.0,,,,,49000000
515,12-BR Mansion w/ Scenic View in the Hills of Antipolo nr Marcos Hwy Xentro Mall,7.0,12.0,7.0,2000.0,1382.0,Antipolo City,,,12.0,165000000
516,Cubao Quezon City House and Lot For Sale,2.0,3.0,,200.0,600.0,,,,,90000000
517,Modern House and Lot For Sale in Ayala Alabang Village with Pool ,5.0,5.0,,850.0,762.0,,,,,320000000
518,Affordable 2 Bedrooms Single Attached in Cabuyao and Calamba Laguna,1.0,2.0,1.0,50.2,80.0,Lynville,,,,2300000
519,"Rush for Sale! Bungalow House in Soldiers Hills Village, Muntinlupa City",2.0,3.0,2.0,200.0,210.0,Soldiers Hills,,,,6200000
520,4-Storey House with 12 Bedrooms Capitol Site Cebu PH at P7.5M,10.0,12.0,,270.0,61.0,,,,,7500000
521,"For Sale: Four-Bedroom House and Lot in Maharlika 4 Subd in Don Bosco, Parañaque",4.0,4.0,1.0,240.0,150.0,Levitown Executive,,,,9500000
522,Single attached house and lot for sale at summerfield residences antipolo city,2.0,3.0,2.0,90.0,89.0,village east executive village cainta,,,,5032000
523,For Sale RFO End/Corner Unit Townhouse Near Walter Mart Darasa Tanauan Batangas,1.0,1.0,1.0,42.0,84.0,Primavera Homes 2 Tanauan,Block 16 / Lot 6,2020.0,1.0,2300000
524,"Overlooking Furnished 3 Bedroom House For Sale In Talisay City, Cebu",5.0,3.0,1.0,165.0,206.0,Pacific Heights,,2009.0,,10500000
525,,,,,,,,,,,
526,"Beachfront 5-Storey Interior Decorated Beach House for Sale in Anilao, Batangas",5.0,4.0,,1041.0,900.0,,,,,75000000
527,For Sale Brand New High Ceiling House and Lot in BF Resort Las Piñas,3.0,4.0,2.0,167.5,125.0,,,,5.0,10500000
528,Rush Bungalow House With Pool For Sale in Dipolog,6.0,5.0,,480.0,500.0,,,,,11000000
529,Affordable 2 Garage San Juan Townhouse For Sale near LRT J.Ruiz,2.0,3.0,2.0,180.0,68.0,,,2022.0,3.0,12000000
530,"For Sale RFO 4 Bedroom House & Lot in Pacific Residences, Taguig City ",2.0,4.0,2.0,120.0,88.0,Pacific Residences,,,4.0,9200000
531,Enrty level for small family in San Juan,2.0,3.0,1.0,106.0,25.0,,H,2022.0,3.0,7650000
532,"For Sale 3 Bedroom House and Lot, Rent to own at Santa Rosa Laguna",2.0,3.0,,70.0,80.0,Araya Park Residences,Blk.20,2022.0,,4600000
533,"Brand New House and Lot For Sale Prime Location, Las Piñas City",2.0,3.0,1.0,117.0,67.0,Hidalgo Homes,4 / 32,2021.0,4.0,7126000
534,3-Spacious Bedroom House and Lot For Sale in UPS 5 Parañaque City,4.0,3.0,1.0,188.0,105.0,UPS 5,,,,8900000
535,"Upscale House and Lot with Swimming Pool in Merville, Parañaque for Sale",4.0,4.0,,880.0,640.0,,,,,68000000
536,Great Deal- Reduced Price! Townhouse For Sale Walking Distance To Sm North Edsa,1.0,3.0,1.0,100.0,51.3,,"74, Rd 13",,,6900000
537,"Classico Modern 5-Bedroom House with Pool For Sale in Magallanes Village, Makati",5.0,5.0,2.0,470.0,426.0,Magallanes Village,,,,136000000
538,"RFO 3 Bedroom Townhouse For Sale in Crown Asia, Ususan, Taguig City",2.0,3.0,,65.0,83.0,Aventine,"Blk 3, Lot 21",,,10000000
539,Brand New 4-Bedroom Modern Bungalow House and Lot in Pilar Las Piñas,2.0,4.0,2.0,200.0,238.0,,,,5.0,12000000
540,"Filinvest Homes 1, Batasan Hills, Quezon City - House for sale",3.0,5.0,4.0,450.0,300.0,Filinvest 1,,,7.0,22000000
541,For Sale: 2 Storey Modern Industrial Design House at Angeles City,4.0,4.0,,211.0,176.0,,1,,,13000000
542,Elegant Residential house and lot for Sale,2.0,3.0,,290.0,12802.0,,,,,11000000
543,Semi furnished Bungalow 2 Bedroom House and Lot for Sale in Quezon City,2.0,2.0,2.0,160.0,180.0,,,,,17500000
544,5 Bedroom  Townhouse Sale in Tandang Sora Commonwealth Congressional Quezon City,4.0,5.0,2.0,187.0,80.0,Union Village,#12,2021.0,5.0,11500000
545,"Townhouse for Sale Tandang Sora, Mindanao Avenue Area, Quezon City",3.0,3.0,1.0,170.0,68.0,,lot 2 blk 6,,4.0,7200000
546,"French-Inspired House & Lot for sale in Better Living, Parañaque!",3.0,5.0,2.0,302.0,358.0,Levitown Executive,,,,22000000
547,"For Sale: 113 sqm Vermont House and Lot at The Meadows in Santa Maria, Bulacan",3.0,4.0,1.0,113.0,230.0,The Meadows,Phase 2 block 23 lot 02,,4.0,7489944
548,"For Sale 5 Bedroom House and Lot in Addition Hills, San Juan City",4.0,5.0,,80.0,1203.0,,,,,228570000
549,"Affordable House & Lot Amaresa as low as 23,743 monthly",2.0,3.0,1.0,94.0,89.0,Amaresa 1,Phase 1B Block 1 Lot 8,2020.0,3.0,4859800
550,Sikatuna VIllage 3 Bedroom Townhouse for sale few step away from maginahawa,3.0,3.0,2.0,165.0,50.0,Sikatuna Village,,,,13800000
551,Well-Maintained Bungalow House For Sale in Marcelo Green Village Parañaque City,2.0,3.0,,200.0,295.0,Marcelo Green Village,,,,13000000
552,"For Sale 2 Bedroom Single House & Lot, RFO Grenville. Big Lot. in Taguig",1.0,2.0,3.0,70.0,156.0,Camella Grenville,B9 L5,,2.0,10900000
553,"Fully Furnished Two Storey House For Sale in San Fernando City, Pampanga",4.0,4.0,2.0,272.0,267.0,Dizon Estate,,,,20000000
554,"Duplex House for Sale in BF Homes International, Las Piñas City",3.0,3.0,2.0,232.0,150.0,BF International,,,,16500000
555,"3 Level  Brand New Modern House for Sale in Ayala Alabang, Muntinlupa",6.0,7.0,4.0,800.0,555.0,Ayala Alabang Village,,2021.0,7.0,195000000
556,"House and Lot for Sale in White Plains, Quezon City, Metro Manila",4.0,4.0,,600.0,599.0,White Plains,,,,117500000
557,,,,,,,,,,,
558,For Sale Affordable Townhouse in Exclusive Village in Muntinlupa,3.0,4.0,2.0,85.0,80.0,South Greenheights Village,26,2021.0,4.0,5195000
559,"Rent to own Townhouse for sale in Georgia Plains, Mexico, Pampanga",1.0,2.0,,46.6,40.0,Georgia Plains Subdivision,,,,943429
560,For Sale: 3 Bedroom Townhouse in One Fairview Residences,2.0,3.0,1.0,105.45,57.6,One Fairview Residences,Unit B,2020.0,,5850000
561,"Ready to Move-in House in Tayud Consolacion, Cebu",3.0,3.0,,81.0,56.0,,,,,2639043
562,Modern fully furnished 3BR 2T&b Townhouse in a private subdivision in Banilad,2.0,3.0,,103.0,67.0,,,,,8500000
563,"Affordable For Sale!  Bungalow House And Lot In Soldiers Hills, Muntinlupa City",2.0,2.0,,70.0,134.0,,,,,4400000
564,,,,,,,,,,,
565,Phuket Mansions South Forbes Big House For Sale! 8 Bedrooms!,9.0,8.0,,765.0,351.0,,,,,55000000
566,Swimming Pool House and Lot for sale Filinvest Batasan Commonwealth Quezon City,5.0,5.0,4.0,500.0,338.0,Filinvest 2 Subdivision,,,,41500000
567,For Sale house and lot 3 bedrooms in Crosswind Tagaytay,3.0,3.0,1.0,189.65,200.0,Crosswinds,,,,13500000
568,Three Storey House with Swimming Pool For Sale near Clark,7.0,5.0,4.0,380.0,792.0,,,,,36000000
569,"House for Sale at South Forbes Mansion, 8 Bedroom Fully furnished, Silang",9.0,8.0,2.0,765.0,351.0,South Forbes Phuket Mansion,,,,55000000
570,"For Sale: Fully Furnished House and Lot in Richtown Subdivision, Pampanga",4.0,4.0,2.0,210.0,204.0,Richtown,B10  L1,,,12000000
571,"2 Storey 2 Bedroom, 2 Toilet and Bath House For Sale in Makati City",2.0,2.0,1.0,100.0,67.0,,,,2.0,9000000
572,"For Sale Duplex Townhouse with 3 BR and Balcony in Hobart Village 2, Valenzuela ",3.0,3.0,,290.0,100.0,Hobart Village 2,Blk 1 Lot 3,,,8800000
573,,,,,,,,,,,
574,3 Storey Townhouse For Sale in Tandang Sora near Mindanao Avenue Quezon City,3.0,3.0,1.0,180.0,60.0,,#16,2021.0,3.0,7200000
575,"For Sale: 4 storey Duplex with Roofdeck at Matapang St.,Brgy Central, Diliman QC",3.0,2.0,2.0,250.0,68.0,,,,,12000000
576,"Rush Sale! Brand New House For Sale Tivoli Royale, Matandang Balara, Quezon City",5.0,4.0,4.0,850.0,364.0,Tivoli Royale,,,,95000000
577,"Quezon City House for Sale at Ayala Heights Village, Semi furnished 4 Bedroom ",4.0,4.0,4.0,532.0,482.0,Ayala Heights Village,,,,95000000
578,"2-Bedroom Townhouse for Sale in The Bellecourt - Santa Rosa, Laguna",2.0,2.0,1.0,58.0,50.0,The Bellecourt,32,,,3700000
579,"For Sale 4 Bedrooms House and Lot in Mapayapa Village III, Quezon City",3.0,4.0,4.0,500.0,525.0,Mapayapa Village - Quezon City,,,,27000000
580,Great deal! Income Generating  2 Townhouse units (Duplex) in Pasig 12M All in!,4.0,4.0,,119.0,170.0,,,,,12000000
581,"For Sale Brand New 5 Bedroom House and Lot in Tivoli Royale Subd., Quezon City",6.0,5.0,2.0,500.0,300.0,Tivoli Royale,,,,52000000
582,New 2 Parkings Commercial Townhouse for sale in Project 4 Cubao Quezon City ,4.0,4.0,2.0,160.59,63.0,,Unit 35A-3,,4.0,13000000
583,Makati House for Sale 5 Bedroom Clean title Magallanes Village near ForbesPark,4.0,5.0,1.0,332.0,353.0,Magallanes Village,,,,129000000
584,ARIELLE- Ready for Occupancy Townhouse for sale in Puerto Princesa,1.0,2.0,,40.0,48.0,Subdivision-Camella PPC,,,2.0,2923000
585,"Repriced! Bungalow House and Lot For Sale in BF Homes Almanza, Las Piñas City",2.0,4.0,2.0,190.0,276.0,BF Homes Almanza,,,,10500000
586,"Fully furnished 3 Bedroom Duplex Townhouse for Sale in Rosario, Pasig City",2.0,3.0,2.0,194.0,92.0,Doña Juana Subdivision,Phase 1,,,17500000
587,"For Sale 3-Bedroom House and Lot at Amici Subdivision, Daang Hari, Bacoor",3.0,3.0,4.0,210.0,155.0,Amici,Block 3 Lot 50,2021.0,4.0,13200000
588,"For Sale (Pre Selling !) Modern Townhouses In Soldiers Hills, Muntinlupa City",2.0,2.0,,65.0,78.0,Soldiers Hills,"Block 23 , Lot 1",,,5300000
589,"3 Bedroom House For Sale at Solaya Residence, Lipa, Batangas",2.0,3.0,2.0,57.0,97.0,Solaya Residence,1/10,,3.0,3902640
590,4 Bedroom House For Sale in Antipolo near Cainta Marcos Highway & LRT Masinag,4.0,4.0,2.0,200.0,195.0,,,2022.0,5.0,13700000
591,"For Sale Semi Furnished 4BR House and Lot in Camella Carson, Bacoor, Cavite",3.0,4.0,,97.0,110.0,Camella Carson,,,,7900000
592,RFO Brand New 3-Bedroom House and Lot for Sale in Las Piñas,3.0,4.0,1.0,94.0,60.0,,,,4.0,6000000
593,"Brand New 2BR House & Lot in Camella Trece RFO Cavite in Cabuco, Trece Martires",1.0,2.0,,40.0,60.0,Camella Trece,8/20,,,2150000
594,Town and Country Ex. Village | 5 Bedroom House and Lot in Antipolo City For Sale,4.0,5.0,2.0,270.0,105.0,Town and Country Executive Village,B8 L8,2021.0,5.0,11900000
595,"Pre-owned Townhouse for Sale Vergonville, Pulang Lupa Dos, Las Piñas City",2.0,2.0,,84.0,74.0,VergonVille Subdivision,,,,4000000
